timestamp,point,data processing,initial segmentation,split,merge
0.0000,123090,0.0119,5.9421,9.1932,9.6840
0.0000,123090,0.0124,0.0041,0.0074,0.0058
0.0676,123090,0.0264,0.0076,0.0110,0.0035
0.1540,123090,0.0244,0.0082,0.0093,0.0034
0.2315,123090,0.0237,0.0073,0.0090,0.0048
0.3086,123090,0.0213,0.0083,0.0094,0.0035
0.3823,123090,0.0245,0.0073,0.0103,0.0056
0.4649,123090,0.0259,0.0075,0.0117,0.0035
0.5466,123090,0.0235,0.0072,0.0101,0.0034
0.6232,125378,0.0237,0.0073,0.0081,0.0027
0.6959,125740,0.0240,0.0072,0.0102,0.0032
0.7734,126025,0.0228,0.0084,0.0093,0.0026
0.8476,126265,0.0237,0.0071,0.0071,0.0024
0.9279,125578,0.0260,0.0070,0.0080,0.0031
1.0038,125492,0.0228,0.0069,0.0080,0.0050
1.0777,126137,0.0195,0.0071,0.0106,0.0030
1.1478,125474,0.0231,0.0071,0.0089,0.0035
1.2229,125491,0.0234,0.0075,0.0108,0.0034
1.2997,125792,0.0255,0.0072,0.0093,0.0036
1.3787,125888,0.0241,0.0078,0.0094,0.0030
1.4579,125891,0.0257,0.0070,0.0087,0.0039
1.5376,125247,0.0247,0.0084,0.0112,0.0040
1.6186,125815,0.0241,0.0073,0.0087,0.0044
1.6960,125751,0.0225,0.0085,0.0093,0.0026
1.7713,125241,0.0248,0.0071,0.0088,0.0038
1.8507,125025,0.0210,0.0094,0.0083,0.0028
1.9241,125070,0.0229,0.0071,0.0088,0.0031
1.9983,125538,0.0221,0.0073,0.0097,0.0035
2.0714,125373,0.0227,0.0075,0.0085,0.0030
2.1459,126126,0.0234,0.0073,0.0090,0.0052
2.2225,125732,0.0225,0.0095,0.0090,0.0036
2.3044,127113,0.0261,0.0074,0.0159,0.0031
2.3948,125956,0.0272,0.0086,0.0102,0.0029
2.4787,126409,0.0229,0.0097,0.0088,0.0038
2.5562,126183,0.0236,0.0084,0.0087,0.0028
2.6330,126521,0.0237,0.0070,0.0083,0.0027
2.7056,126488,0.0247,0.0080,0.0116,0.0032
2.7878,126540,0.0244,0.0069,0.0169,0.0035
2.8715,126586,0.0217,0.0084,0.0087,0.0031
2.9474,126280,0.0249,0.0073,0.0113,0.0029
3.0266,126377,0.0211,0.0088,0.0084,0.0028
3.0993,125840,0.0240,0.0069,0.0085,0.0053
3.1776,126173,0.0221,0.0084,0.0087,0.0026
3.2514,126694,0.0231,0.0072,0.0083,0.0031
3.3258,126717,0.0257,0.0075,0.0093,0.0029
3.4030,127318,0.0238,0.0070,0.0086,0.0028
3.4783,125495,0.0226,0.0072,0.0089,0.0054
3.5544,125623,0.0222,0.0086,0.0085,0.0029
3.6286,125832,0.0230,0.0074,0.0092,0.0039
3.7054,126012,0.0220,0.0090,0.0081,0.0034
3.7807,126503,0.0233,0.0068,0.0073,0.0029
