timestamp,point,data processing,initial segmentation,split,merge
0.0000,2402,0.0050,0.0026,0.0042,0.0022
0.0318,2103,0.0046,0.0026,0.0029,0.0019
0.0587,2286,0.0035,0.0026,0.0027,0.0027
0.0885,2165,0.0035,0.0027,0.0029,0.0015
0.1247,2028,0.0034,0.0024,0.0029,0.0020
0.1565,2245,0.0045,0.0029,0.0027,0.0018
0.1887,1898,0.0035,0.0027,0.0025,0.0017
0.2228,1871,0.0038,0.0024,0.0021,0.0014
0.2552,1901,0.0036,0.0023,0.0024,0.0018
0.2897,1603,0.0049,0.0025,0.0019,0.0012
0.3221,1975,0.0037,0.0026,0.0032,0.0021
0.3559,2251,0.0037,0.0025,0.0029,0.0019
0.3889,1790,0.0033,0.0026,0.0030,0.0017
0.4228,2156,0.0040,0.0031,0.0028,0.0017
0.4556,1807,0.0039,0.0025,0.0026,0.0020
0.4892,2065,0.0037,0.0026,0.0027,0.0017
0.5227,1376,0.0050,0.0023,0.0022,0.0017
0.5566,1699,0.0037,0.0030,0.0027,0.0019
0.5895,1725,0.0034,0.0028,0.0026,0.0016
0.6237,1903,0.0039,0.0030,0.0029,0.0017
0.6579,1653,0.0048,0.0024,0.0024,0.0016
0.6936,1895,0.0035,0.0024,0.0028,0.0024
0.7228,2164,0.0037,0.0025,0.0031,0.0026
0.7579,1766,0.0048,0.0026,0.0025,0.0017
0.7891,1441,0.0036,0.0025,0.0026,0.0016
0.8356,2227,0.0043,0.0027,0.0030,0.0018
0.8637,2044,0.0050,0.0028,0.0028,0.0018
0.8914,1786,0.0037,0.0027,0.0023,0.0016
0.9223,2191,0.0037,0.0026,0.0022,0.0017
0.9690,2022,0.0056,0.0025,0.0024,0.0017
0.9966,2215,0.0037,0.0026,0.0027,0.0019
1.0230,2001,0.0039,0.0030,0.0029,0.0017
1.0564,1918,0.0045,0.0026,0.0024,0.0016
1.0905,1589,0.0037,0.0030,0.0025,0.0013
1.1225,1762,0.0035,0.0026,0.0025,0.0017
1.1575,1808,0.0052,0.0029,0.0026,0.0017
1.1894,1606,0.0037,0.0026,0.0025,0.0016
1.2236,1876,0.0037,0.0030,0.0029,0.0019
1.2566,1385,0.0047,0.0024,0.0023,0.0020
1.2901,1117,0.0035,0.0026,0.0029,0.0022
1.3229,1806,0.0035,0.0030,0.0027,0.0017
1.3577,1706,0.0052,0.0029,0.0027,0.0021
1.3907,1506,0.0039,0.0025,0.0028,0.0027
1.4241,1816,0.0039,0.0027,0.0030,0.0019
1.4574,2154,0.0054,0.0029,0.0029,0.0019
1.4906,1953,0.0038,0.0024,0.0027,0.0020
1.5236,2064,0.0035,0.0025,0.0023,0.0021
1.5577,1732,0.0045,0.0027,0.0025,0.0016
1.5999,2114,0.0042,0.0029,0.0025,0.0014
1.6273,1998,0.0039,0.0026,0.0025,0.0016
