point,data processing,initial segmentation,split,merge 
10449,0.0008,0.1809,0.0292,0.0039
10449,0.0033,0.2293,0.0241,0.0036
10449,0.0018,0.2123,0.0233,0.0042
10449,0.0015,0.2181,0.0303,0.0027
10449,0.0017,0.2215,0.0310,0.0038
10449,0.0017,0.2138,0.0239,0.0036
10449,0.0008,0.2131,0.0276,0.0055
10449,0.0027,0.2059,0.0301,0.0031
10449,0.0015,0.2191,0.0264,0.0093
10449,0.0020,0.2084,0.0385,0.0035
10449,0.0022,0.2265,0.0340,0.0037
10449,0.0010,0.2280,0.0468,0.0048
10449,0.0013,0.2390,0.0250,0.0040
10449,0.0022,0.2109,0.0237,0.0040
10449,0.0038,0.2122,0.0400,0.0031
10449,0.0015,0.2438,0.0439,0.0040
10449,0.0015,0.2251,0.0375,0.0043
10449,0.0013,0.2493,0.0267,0.0033
10449,0.0011,0.2218,0.0721,0.0036
10449,0.0031,0.2087,0.0434,0.0027
10449,0.0013,0.2191,0.0445,0.0032
10449,0.0019,0.2148,0.0241,0.0025
10449,0.0015,0.2090,0.0292,0.0024
10449,0.0011,0.2104,0.0306,0.0024
10449,0.0012,0.2148,0.0346,0.0037
10449,0.0013,0.2167,0.0227,0.0033
10449,0.0013,0.2267,0.0237,0.0052
10449,0.0039,0.2084,0.0224,0.0028
10449,0.0014,0.2235,0.0308,0.0038
10449,0.0008,0.2169,0.0318,0.0037
10449,0.0014,0.2237,0.0278,0.0052
10449,0.0015,0.2121,0.0315,0.0048
10449,0.0015,0.1928,0.0284,0.0032
10449,0.0018,0.2089,0.0458,0.0021
10449,0.0016,0.2156,0.0281,0.0034
10449,0.0020,0.2364,0.0358,0.0037
10449,0.0023,0.2448,0.0235,0.0031
10449,0.0012,0.2141,0.0231,0.0042
10449,0.0017,0.2273,0.0333,0.0032
10449,0.0013,0.1936,0.0352,0.0119
10449,0.0015,0.2197,0.0370,0.0042
10449,0.0102,0.2264,0.0240,0.0040
10449,0.0026,0.2049,0.0236,0.0023
10449,0.0009,0.2162,0.0240,0.0048
10449,0.0015,0.2052,0.0284,0.0026
10449,0.0013,0.2057,0.0336,0.0030
10449,0.0009,0.1778,0.0312,0.0038
10449,0.0020,0.2390,0.0256,0.0028
10449,0.0014,0.2235,0.0228,0.0110
10449,0.0023,0.2233,0.0252,0.0035

