timestamp,point,data processing,initial segmentation,split,merge 
0.0000,9300,0.0008,0.2096,0.0212,0.0017
0.2374,9300,0.0008,0.1974,0.0191,0.0054
0.4649,9300,0.0007,0.1759,0.0224,0.0020
0.6702,9300,0.0008,0.1695,0.0208,0.0015
0.8672,9300,0.0008,0.1819,0.0194,0.0016
1.0747,9300,0.0008,0.1842,0.0196,0.0018
1.2880,9300,0.0009,0.1780,0.0229,0.0014
1.4954,9300,0.0010,0.1792,0.0193,0.0019
1.7035,9300,0.0008,0.1747,0.0273,0.0020
1.9134,9300,0.0011,0.1857,0.0205,0.0015
2.1281,9300,0.0009,0.2125,0.0199,0.0015
2.3669,9300,0.0008,0.1918,0.0201,0.0018
2.5859,9300,0.0010,0.1869,0.0224,0.0022
2.8052,9300,0.0010,0.1856,0.0210,0.0022
3.0202,9300,0.0009,0.1586,0.0221,0.0020
3.2085,9300,0.0010,0.2365,0.0226,0.0018
3.4747,9300,0.0009,0.1782,0.0223,0.0012
3.6809,9300,0.0011,0.1446,0.0223,0.0019
3.8583,9300,0.0009,0.1831,0.0204,0.0018
4.0691,9300,0.0010,0.1825,0.0229,0.0014
4.2819,9300,0.0008,0.1819,0.0276,0.0016
4.4996,9300,0.0010,0.2005,0.0223,0.0019
4.7314,9300,0.0009,0.1676,0.0198,0.0013
4.9252,9300,0.0008,0.1566,0.0197,0.0014
5.1096,9404,0.0011,0.1780,0.0206,0.0043
5.3200,9405,0.0011,0.1403,0.0209,0.0026
5.4892,10698,0.0009,0.1613,0.0255,0.0026
5.6847,10693,0.0013,0.1722,0.0263,0.0029
5.8930,10769,0.0013,0.2055,0.0281,0.0030
6.1396,10982,0.0011,0.2431,0.0237,0.0018
6.4155,10983,0.0012,0.1736,0.0301,0.0027
6.6348,11504,0.0012,0.2541,0.0388,0.0164
6.9551,11507,0.0015,0.2151,0.0395,0.0074
7.2262,11508,0.0014,0.2546,0.0678,0.0060
7.5638,11699,0.0013,0.2511,0.0416,0.0052
7.8744,11699,0.0018,0.2752,0.0275,0.0023
8.1874,11699,0.0012,0.2576,0.0490,0.0041
8.5092,11808,0.0024,0.2483,0.0275,0.0023
8.7975,11812,0.0014,0.3327,0.0372,0.0048
9.1862,12000,0.0034,0.2366,0.0328,0.0040
9.4791,12014,0.0030,0.2274,0.0481,0.0043
9.7704,12038,0.0020,0.2571,0.0438,0.0059
10.0963,12048,0.0037,0.2353,0.0250,0.0019
