point,data processing,initial segmentation,split,merge 
8778,0.0007,0.1403,0.0175,0.0026
8778,0.0007,0.1554,0.0179,0.0023
8778,0.0009,0.1196,0.0162,0.0025
8778,0.0007,0.1240,0.0150,0.0019
8778,0.0010,0.1244,0.0155,0.0019
8778,0.0006,0.1075,0.0154,0.0054
8778,0.0007,0.1131,0.0163,0.0022
8778,0.0009,0.1212,0.0157,0.0019
8778,0.0006,0.1291,0.0160,0.0023
8778,0.0007,0.1147,0.0153,0.0019
8778,0.0006,0.1272,0.0160,0.0025
8778,0.0007,0.1185,0.0154,0.0020
8778,0.0008,0.1065,0.0175,0.0019
8778,0.0007,0.1142,0.0149,0.0017
8778,0.0007,0.1168,0.0152,0.0018
8777,0.0006,0.1072,0.0157,0.0020
8777,0.0006,0.1179,0.0176,0.0020
8777,0.0010,0.1059,0.0162,0.0019
8777,0.0007,0.1071,0.0145,0.0018
8777,0.0007,0.1114,0.0155,0.0017
8777,0.0006,0.1202,0.0179,0.0019
8777,0.0007,0.1144,0.0158,0.0021
8777,0.0006,0.1345,0.0156,0.0019
8777,0.0008,0.1014,0.0155,0.0019
8777,0.0007,0.1152,0.0159,0.0021
8777,0.0008,0.1198,0.0159,0.0017
8777,0.0009,0.1233,0.0156,0.0018
8777,0.0007,0.1239,0.0146,0.0024
8777,0.0007,0.1182,0.0153,0.0018
8777,0.0007,0.1097,0.0156,0.0019
8777,0.0007,0.1255,0.0167,0.0020
8777,0.0007,0.1165,0.0162,0.0019
8777,0.0009,0.1107,0.0165,0.0017
8777,0.0007,0.1191,0.0157,0.0023
8777,0.0007,0.1266,0.0152,0.0016
8777,0.0009,0.1069,0.0147,0.0019
8777,0.0007,0.1113,0.0489,0.0020
8777,0.0008,0.1045,0.0158,0.0019
8777,0.0008,0.1154,0.0171,0.0024
8777,0.0007,0.1197,0.0164,0.0020
8777,0.0006,0.1025,0.0154,0.0019
8777,0.0007,0.1104,0.0157,0.0024
8777,0.0007,0.1231,0.0157,0.0024
8777,0.0008,0.1127,0.0158,0.0019
8777,0.0007,0.1210,0.0157,0.0021
8778,0.0007,0.1127,0.0149,0.0018
8778,0.0007,0.1090,0.0166,0.0019
8778,0.0006,0.1022,0.0145,0.0020
8778,0.0007,0.1042,0.0165,0.0025
8778,0.0007,0.1118,0.0148,0.0016
