point,data processing,initial segmentation,split,merge 
10324,0.0007,0.1781,0.0225,0.0053
10324,0.0022,0.2347,0.0322,0.0022
10324,0.0013,0.2130,0.0282,0.0027
10324,0.0017,0.2387,0.0319,0.0030
10324,0.0012,0.2267,0.0333,0.0025
10324,0.0032,0.2022,0.0237,0.0021
10324,0.0013,0.2292,0.0333,0.0029
10324,0.0014,0.2172,0.0227,0.0026
10324,0.0012,0.2252,0.0227,0.0035
10324,0.0015,0.2420,0.0238,0.0026
10324,0.0028,0.2410,0.0241,0.0021
10324,0.0019,0.2345,0.0257,0.0028
10324,0.0020,0.2315,0.0233,0.0036
10324,0.0014,0.2371,0.0241,0.0020
10324,0.0014,0.2465,0.0228,0.0023
10324,0.0012,0.2289,0.0216,0.0026
10324,0.0016,0.2065,0.0228,0.0021
10324,0.0010,0.1810,0.0264,0.0025
10324,0.0019,0.2218,0.0303,0.0026
10324,0.0016,0.2354,0.0258,0.0029
10324,0.0010,0.2458,0.0211,0.0021
10324,0.0010,0.2253,0.0237,0.0034
10324,0.0014,0.2227,0.0228,0.0025
10324,0.0016,0.2013,0.0275,0.0022
10324,0.0014,0.1986,0.0404,0.0031
10324,0.0017,0.2062,0.0241,0.0026
10324,0.0013,0.2253,0.0308,0.0027
10324,0.0076,0.2225,0.0234,0.0024
10324,0.0039,0.2095,0.0221,0.0023
10324,0.0015,0.2323,0.0302,0.0022
10324,0.0014,0.2028,0.0251,0.0029
10324,0.0022,0.2587,0.0218,0.0022
10323,0.0017,0.2194,0.0226,0.0030
10323,0.0018,0.2231,0.0215,0.0098
10323,0.0015,0.2344,0.0228,0.0025
10323,0.0015,0.2126,0.0352,0.0029
10323,0.0023,0.2154,0.0235,0.0025
10323,0.0014,0.2279,0.0263,0.0020
10323,0.0018,0.2155,0.0329,0.0032
10323,0.0032,0.2103,0.0236,0.0022
10323,0.0021,0.2813,0.0327,0.0023
10323,0.0018,0.2473,0.0292,0.0043
10323,0.0015,0.1915,0.0344,0.0041
10323,0.0015,0.2431,0.0523,0.0030
10323,0.0011,0.2737,0.0475,0.0024
10323,0.0012,0.2566,0.0231,0.0025
10323,0.0015,0.2166,0.0218,0.0044
10323,0.0016,0.2108,0.0226,0.0025
10323,0.0016,0.2241,0.0289,0.0027
10323,0.0029,0.2465,0.0232,0.0025
