point,data processing,initial segmentation,split,merge 
8896,0.0008,0.0969,0.0143,0.0013
8896,0.0007,0.0901,0.0146,0.0016
8896,0.0005,0.0916,0.0161,0.0014
8896,0.0006,0.0814,0.0165,0.0016
8896,0.0007,0.0840,0.0153,0.0016
8896,0.0006,0.0898,0.0162,0.0018
8896,0.0008,0.0871,0.0168,0.0017
8896,0.0008,0.0959,0.0153,0.0018
8896,0.0008,0.0878,0.0156,0.0019
8896,0.0007,0.0853,0.0151,0.0019
8896,0.0006,0.0977,0.0153,0.0017
8896,0.0006,0.0917,0.0151,0.0018
8896,0.0008,0.0871,0.0152,0.0018
8896,0.0006,0.1041,0.0147,0.0016
8896,0.0007,0.0828,0.0152,0.0018
8896,0.0006,0.0816,0.0163,0.0020
8896,0.0006,0.0779,0.0160,0.0016
8896,0.0006,0.0896,0.0145,0.0014
8896,0.0007,0.0797,0.0158,0.0017
8896,0.0006,0.0789,0.0151,0.0018
8896,0.0009,0.1050,0.0151,0.0018
8896,0.0006,0.0884,0.0156,0.0017
8896,0.0007,0.0878,0.0152,0.0016
8896,0.0007,0.0819,0.0140,0.0015
8896,0.0007,0.0871,0.0152,0.0019
8896,0.0006,0.0920,0.0158,0.0017
8896,0.0007,0.0881,0.0142,0.0013
8896,0.0007,0.0844,0.0153,0.0014
8896,0.0008,0.0982,0.0156,0.0014
8896,0.0010,0.0825,0.0154,0.0019
8896,0.0006,0.0852,0.0152,0.0014
8896,0.0007,0.0827,0.0146,0.0019
8896,0.0006,0.0822,0.0154,0.0016
8896,0.0006,0.0770,0.0141,0.0013
8896,0.0007,0.0772,0.0144,0.0014
8896,0.0006,0.1044,0.0150,0.0026
8896,0.0007,0.1048,0.0150,0.0015
8896,0.0007,0.0833,0.0153,0.0015
8896,0.0008,0.0914,0.0164,0.0015
8896,0.0008,0.1029,0.0155,0.0016
8896,0.0006,0.0886,0.0150,0.0014
8896,0.0007,0.1011,0.0154,0.0015
8896,0.0006,0.0845,0.0157,0.0015
8896,0.0007,0.0826,0.0156,0.0019
8896,0.0006,0.0998,0.0142,0.0016
8896,0.0008,0.0852,0.0159,0.0016
8896,0.0006,0.0961,0.0148,0.0015
8896,0.0006,0.0826,0.0152,0.0020
8896,0.0007,0.0917,0.0175,0.0018
8896,0.0006,0.0868,0.0155,0.0017
