point,data processing,initial segmentation,split,merge 
35356,0.0019,0.2148,0.0324,0.0019
35356,0.0024,0.1781,0.0222,0.0026
35356,0.0019,0.1904,0.0220,0.0025
35356,0.0036,0.2182,0.0332,0.0035
35356,0.0063,0.2050,0.0297,0.0030
35356,0.0020,0.2159,0.0328,0.0033
35356,0.0040,0.2143,0.0221,0.0022
35356,0.0042,0.1943,0.0227,0.0018
35356,0.0029,0.2154,0.0263,0.0025
35356,0.0038,0.1808,0.0296,0.0019
35356,0.0018,0.1620,0.0212,0.0018
35356,0.0018,0.1621,0.0292,0.0026
35356,0.0058,0.1507,0.0198,0.0014
35356,0.0018,0.1631,0.0208,0.0017
35356,0.0016,0.1471,0.0207,0.0019
35356,0.0025,0.1842,0.0210,0.0016
35356,0.0018,0.1489,0.0210,0.0015
35356,0.0021,0.1381,0.0215,0.0018
35356,0.0020,0.1314,0.0207,0.0017
35356,0.0018,0.1856,0.0207,0.0014
35356,0.0023,0.1299,0.0200,0.0018
35356,0.0019,0.1468,0.0206,0.0016
35356,0.0018,0.1322,0.0205,0.0016
35356,0.0017,0.1292,0.0202,0.0016
35356,0.0017,0.1340,0.0201,0.0014
35356,0.0022,0.1276,0.0213,0.0012
35356,0.0017,0.1219,0.0198,0.0018
35356,0.0019,0.1469,0.0194,0.0016
35356,0.0025,0.1403,0.0202,0.0013
35356,0.0018,0.1614,0.0233,0.0016
35356,0.0024,0.1390,0.0212,0.0021
35356,0.0019,0.1546,0.0234,0.0034
35356,0.0034,0.1685,0.0221,0.0025
35356,0.0049,0.2000,0.0373,0.0030
35356,0.0035,0.1927,0.0207,0.0015
35356,0.0020,0.1336,0.0207,0.0020
35356,0.0019,0.1587,0.0217,0.0016
35356,0.0018,0.1328,0.0241,0.0018
35356,0.0024,0.1539,0.0213,0.0025
35356,0.0112,0.1951,0.0306,0.0034
35356,0.0047,0.1770,0.0213,0.0025
35356,0.0031,0.2052,0.0334,0.0018
35356,0.0030,0.1994,0.0227,0.0016
35356,0.0016,0.1556,0.0221,0.0026
35356,0.0031,0.1718,0.0312,0.0024
35356,0.0018,0.1891,0.0211,0.0018
35356,0.0020,0.1552,0.0198,0.0018
35356,0.0019,0.1338,0.0213,0.0014
35356,0.0019,0.1707,0.0237,0.0017
35356,0.0024,0.1630,0.0206,0.0014
