point,data processing,initial segmentation,split,merge 
10782,0.0017,0.2844,0.0345,0.0024
10782,0.0013,0.2730,0.0346,0.0026
10782,0.0016,0.2812,0.0355,0.0025
10782,0.0016,0.2964,0.0327,0.0025
10782,0.0015,0.2779,0.0320,0.0023
10782,0.0013,0.2921,0.0407,0.0023
10782,0.0015,0.3045,0.0319,0.0023
10782,0.0012,0.2825,0.0335,0.0027
10782,0.0012,0.2304,0.0336,0.0059
10782,0.0016,0.2367,0.0315,0.0031
10782,0.0012,0.2807,0.0689,0.0027
10782,0.0016,0.2704,0.0343,0.0033
10782,0.0014,0.3089,0.0381,0.0027
10782,0.0016,0.2875,0.0377,0.0028
10782,0.0013,0.2875,0.0359,0.0042
10782,0.0017,0.3044,0.0342,0.0027
10782,0.0015,0.2574,0.0338,0.0029
10782,0.0018,0.2317,0.0309,0.0024
10782,0.0013,0.3091,0.0345,0.0024
10782,0.0013,0.2874,0.0344,0.0050
10782,0.0014,0.2837,0.0338,0.0032
10782,0.0016,0.2923,0.0342,0.0031
10782,0.0018,0.2842,0.0358,0.0024
10782,0.0012,0.2864,0.0343,0.0023
10782,0.0013,0.2943,0.0369,0.0030
10782,0.0018,0.2635,0.0345,0.0024
10782,0.0013,0.2999,0.0344,0.0023
10782,0.0018,0.2861,0.0370,0.0024
10782,0.0017,0.2965,0.0347,0.0028
10782,0.0014,0.3280,0.0323,0.0033
10782,0.0017,0.3015,0.0346,0.0027
10782,0.0015,0.3154,0.0364,0.0028
10782,0.0020,0.2928,0.0358,0.0029
10782,0.0018,0.2881,0.0330,0.0030
10782,0.0014,0.2840,0.0343,0.0021
10782,0.0018,0.2622,0.0365,0.0026
10782,0.0013,0.2880,0.0357,0.0024
10782,0.0014,0.2709,0.0332,0.0022
10782,0.0013,0.3015,0.0360,0.0024
10450,0.0023,0.2987,0.0353,0.0035
10450,0.0019,0.2976,0.0372,0.0030
9890,0.0015,0.3123,0.0316,0.0030
9820,0.0012,0.2664,0.0292,0.0024
9820,0.0013,0.2149,0.0348,0.0067
9190,0.0011,0.2036,0.0322,0.0029
8980,0.0011,0.2643,0.0317,0.0025
8980,0.0013,0.1885,0.0278,0.0026
9008,0.0017,0.2045,0.0283,0.0027
9050,0.0014,0.2189,0.0299,0.0022
9050,0.0012,0.1888,0.0320,0.0021
9402,0.0014,0.2509,0.0336,0.0027
9402,0.0017,0.2404,0.0292,0.0027
9190,0.0015,0.1997,0.0279,0.0025
8910,0.0011,0.1909,0.0265,0.0023
9057,0.0010,0.1933,0.0298,0.0032
8560,0.0010,0.1598,0.0250,0.0021
8560,0.0010,0.1557,0.0268,0.0025
8284,0.0008,0.1463,0.0232,0.0023
8297,0.0011,0.1656,0.0240,0.0026
